Mod:Item:MetaData, Localized Name
minecraft:oak_stairs, Дубовые ступеньки
minecraft:chest, Сундук
DragonAPI:minecraft:redstone_wire_technical, Красная пыль
minecraft:diamond_ore, Алмазная руда
minecraft:diamond_block, Алмазный блок
minecraft:crafting_table, Верстак
DragonAPI:minecraft:wheat_technical, Всходы
minecraft:farmland, Пашня
minecraft:furnace, Печь
minecraft:lit_furnace, Печь
DragonAPI:minecraft:standing_sign_technical, Табличка
DragonAPI:minecraft:wooden_door_technical, Деревянная дверь
minecraft:ladder, Лестница
minecraft:rail, Путь
minecraft:stone_stairs, Ступеньки из булыжника
DragonAPI:minecraft:wall_sign_technical, Табличка
minecraft:lever, Рычаг
minecraft:stone_pressure_plate, Нажимная плита
DragonAPI:minecraft:iron_door_technical, Железная дверь
minecraft:wooden_pressure_plate, Нажимная плита
minecraft:redstone_ore, Красная руда
DragonAPI:minecraft:lit_redstone_ore_technical, Красная руда
DragonAPI:minecraft:unlit_redstone_torch_technical, Красный факел
minecraft:redstone_torch, Красный факел
minecraft:stone_button, Кнопка
minecraft:snow_layer:0, Снег
minecraft:ice, Лёд
minecraft:snow, Снег
minecraft:cactus, Кактус
minecraft:clay, Глина
DragonAPI:minecraft:reeds_technical, Сахарный тростник
minecraft:jukebox, Проигрыватель
minecraft:fence:0, Забор из дуба
minecraft:fence:1, Забор из ели
minecraft:fence:2, Забор из берёзы
minecraft:fence:3, Забор из тропического дерева
minecraft:fence:4, Забор из акации
minecraft:fence:5, Забор из тёмного дуба
minecraft:pumpkin, Тыква
minecraft:netherrack, Адский камень
minecraft:soul_sand, Песок душ
minecraft:glowstone, Светящийся камень
minecraft:portal, Портал
minecraft:lit_pumpkin, Светильник Джека
DragonAPI:minecraft:cake_technical, Торт
DragonAPI:minecraft:unpowered_repeater_technical, Повторитель
DragonAPI:minecraft:powered_repeater_technical, Повторитель
minecraft:stained_glass:0, Белое стекло
minecraft:stained_glass:1, Оранжевое стекло
minecraft:stained_glass:2, Пурпурное стекло
minecraft:stained_glass:3, Голубое стекло
minecraft:stained_glass:4, Жёлтое стекло
minecraft:stained_glass:5, Лаймовое стекло
minecraft:stained_glass:6, Розовое стекло
minecraft:stained_glass:7, Серое стекло
minecraft:stained_glass:8, Светло-серое стекло
minecraft:stained_glass:9, Бирюзовое стекло
minecraft:stained_glass:10, Фиолетовое стекло
minecraft:stained_glass:11, Синее стекло
minecraft:stained_glass:12, Коричневое стекло
minecraft:stained_glass:13, Зелёное стекло
minecraft:stained_glass:14, Красное стекло
minecraft:stained_glass:15, Чёрное стекло
minecraft:trapdoor, Дубовый люк
minecraft:monster_egg:0, Заражённый камень
minecraft:monster_egg:1, Заражённый булыжник
minecraft:monster_egg:2, Заражённые каменные кирпичи
minecraft:monster_egg:3, Заражённые замшелые каменные кирпичи
minecraft:monster_egg:4, Заражённые потрескавшиеся каменные кирпичи
minecraft:monster_egg:5, Заражённые резные каменные кирпичи
minecraft:stonebrick:0, Каменные кирпичи
minecraft:stonebrick:1, Замшелые каменные кирпичи
minecraft:stonebrick:2, Потресканные каменные кирпичи
minecraft:stonebrick:3, Резные каменные кирпичи
minecraft:brown_mushroom_block, Гриб
minecraft:red_mushroom_block, Гриб
minecraft:iron_bars, Железные прутья
minecraft:glass_pane, Стеклянная панель
minecraft:melon_block, Арбуз
DragonAPI:minecraft:pumpkin_stem_technical, Стебель тыквы
DragonAPI:minecraft:melon_stem_technical, Стебель арбуза
minecraft:vine, Лоза
minecraft:fence_gate, Дубовая калитка
minecraft:brick_stairs, Кирпичные ступеньки
minecraft:stone_brick_stairs, Ступеньки из каменного кирпича
minecraft:mycelium, Мицелий
minecraft:waterlily, Кувшинка
minecraft:nether_brick, Адские кирпичи
minecraft:nether_brick_fence, Адский забор
minecraft:nether_brick_stairs, Адские ступеньки
DragonAPI:minecraft:nether_wart_technical, Адский нарост
minecraft:enchanting_table, Стол зачарований
DragonAPI:minecraft:brewing_stand_technical, Варочная стойка
DragonAPI:minecraft:cauldron_technical, Котёл
minecraft:end_portal, Портал Края
minecraft:end_portal_frame, Портал в Энд
minecraft:end_stone, Эндерняк
minecraft:dragon_egg, Яйцо дракона
minecraft:redstone_lamp, Лампа
DragonAPI:minecraft:lit_redstone_lamp_technical, Лампа
minecraft:wooden_slab:0, Дубовая плита
minecraft:wooden_slab:1, Еловая плита
minecraft:wooden_slab:2, Берёзовая плита
minecraft:wooden_slab:3, Плита из досок тропического дерева
minecraft:wooden_slab:4, Акациевая плита
minecraft:wooden_slab:5, Плита из досок тёмного дуба
minecraft:cocoa, Какао
minecraft:sandstone_stairs, Ступеньки из песчаника
minecraft:emerald_ore, Изумрудная руда
minecraft:ender_chest, Сундук Эндера
minecraft:tripwire_hook, Крюк
DragonAPI:minecraft:tripwire_technical, Растяжка
minecraft:emerald_block, Изумрудный блок
minecraft:spruce_stairs, Еловые ступеньки
minecraft:birch_stairs, Берёзовые ступеньки
minecraft:jungle_stairs, Ступеньки из досок тропического дерева
minecraft:command_block, Командный блок
minecraft:beacon, Маяк
minecraft:cobblestone_wall:0, Каменная ограда
minecraft:cobblestone_wall:1, Ограда из замшелого булыжника
DragonAPI:minecraft:flower_pot_technical, Цветочный горшок
minecraft:carrots, Морковь
minecraft:potatoes, Картофель
minecraft:wooden_button, Кнопка
DragonAPI:minecraft:skull_technical, Череп
minecraft:anvil:0, Наковальня
minecraft:anvil:1, Повреждённая наковальня
minecraft:anvil:2, Сильно повреждённая наковальня
minecraft:trapped_chest, Сундук-ловушка
minecraft:light_weighted_pressure_plate, Утяжелённая нажимная пластина (Лёгкая)
minecraft:heavy_weighted_pressure_plate, Утяжелённая нажимная пластина (Тяжёлая)
DragonAPI:minecraft:unpowered_comparator_technical, Компаратор
DragonAPI:minecraft:powered_comparator_technical, Компаратор
minecraft:daylight_detector, Датчик дневного света
minecraft:redstone_block, Блок красного камня
minecraft:quartz_ore, Кварцевая руда
minecraft:hopper, Воронка
minecraft:quartz_block:0, Кварцевый блок
minecraft:quartz_block:1, Резной кварцевый блок
minecraft:quartz_block:2, Кварцевый пилон
minecraft:quartz_block:5, Затемнённый кварцевый блок
minecraft:quartz_block:6, Гладкий кварцевый блок
minecraft:quartz_stairs, Кварцевые ступеньки
minecraft:activator_rail, Активирующий путь
minecraft:dropper, Выбрасыватель
minecraft:stained_hardened_clay:0, Белая керамика
minecraft:stained_hardened_clay:1, Оранжевая керамика
minecraft:stained_hardened_clay:2, Пурпурная керамика
minecraft:stained_hardened_clay:3, Светло-синяя керамика
minecraft:stained_hardened_clay:4, Жёлтая керамика
minecraft:stained_hardened_clay:5, Лаймовая керамика
minecraft:stained_hardened_clay:6, Розовая керамика
minecraft:stained_hardened_clay:7, Серая керамика
minecraft:stained_hardened_clay:8, Светло-серая керамика
minecraft:stained_hardened_clay:9, Бирюзовая керамика
minecraft:stained_hardened_clay:10, Фиолетовая керамика
minecraft:stained_hardened_clay:11, Синяя керамика
minecraft:stained_hardened_clay:12, Коричневая керамика
minecraft:stained_hardened_clay:13, Зелёная керамика
minecraft:stained_hardened_clay:14, Красная керамика
minecraft:stained_hardened_clay:15, Чёрная керамика
minecraft:stained_glass_pane:0, Белая стеклянная панель
minecraft:stained_glass_pane:1, Оранжевая стеклянная панель
minecraft:stained_glass_pane:2, Пурпурная стеклянная панель
minecraft:stained_glass_pane:3, Голубая стеклянная панель
minecraft:stained_glass_pane:4, Жёлтая стеклянная панель
minecraft:stained_glass_pane:5, Лаймовая стеклянная панель
minecraft:stained_glass_pane:6, Розовая стеклянная панель
minecraft:stained_glass_pane:7, Серая стеклянная панель
minecraft:stained_glass_pane:8, Светло-серая стеклянная панель
minecraft:stained_glass_pane:9, Бирюзовая стеклянная панель
minecraft:stained_glass_pane:10, Фиолетовая стеклянная панель
minecraft:stained_glass_pane:11, Синяя стеклянная панель
minecraft:stained_glass_pane:12, Коричневая стеклянная панель
minecraft:stained_glass_pane:13, Зелёная стеклянная панель
minecraft:stained_glass_pane:14, Красная стеклянная панель
minecraft:stained_glass_pane:15, Чёрная стеклянная панель
minecraft:leaves2:0, Листья акации
minecraft:leaves2:1, Листья тёмного дуба
minecraft:log2:0, Акациевая древесина
minecraft:log2:1, Древесина тёмного дуба
minecraft:acacia_stairs, Акациевые ступеньки
minecraft:dark_oak_stairs, Ступеньки из досок тёмного дуба
Pistronics2:Mechanic Piston, Mechanic Piston
Pistronics2:Mechanic Rotator, Mechanic Rotator
Pistronics2:Creative Machine, Creative Machine
Pistronics2:Rod Folder, Rod Folder
Pistronics2:Rod Block, Rod
minecraft:hay_block, Сноп сена
minecraft:carpet:0, Ковёр
minecraft:carpet:1, Оранжевый ковёр
minecraft:carpet:2, Пурпурный ковёр
minecraft:carpet:3, Голубой ковёр
minecraft:carpet:4, Жёлтый ковёр
minecraft:carpet:5, Лаймовый ковёр
minecraft:carpet:6, Розовый ковёр
minecraft:carpet:7, Серый ковёр
minecraft:carpet:8, Светло-серый ковёр
minecraft:carpet:9, Бирюзовый ковёр
minecraft:carpet:10, Фиолетовый ковёр
minecraft:carpet:11, Синий ковёр
minecraft:carpet:12, Коричневый ковёр
minecraft:carpet:13, Зелёный ковёр
minecraft:carpet:14, Красный ковёр
minecraft:carpet:15, Чёрный ковёр
minecraft:hardened_clay, Керамика
minecraft:coal_block, Угольный блок
minecraft:packed_ice, Плотный лёд
minecraft:double_plant:0, Подсолнух
minecraft:double_plant:1, Сирень
minecraft:double_plant:2, Двойная высокая трава
minecraft:double_plant:3, Раскидистый папоротник
minecraft:double_plant:4, Розовый куст
minecraft:double_plant:5, Пион
Pistronics2:Extension Block, Extension
Pistronics2:Block of Camou, Block of Camou
Pistronics2:Partblock, Partblock
Pistronics2:Rod Part Block, Rod Part
Pistronics2:Extension Part Block, Extension Part
Pistronics2:Motion Block, Motion Block
Pistronics2:Slimeblock:0, Slimeblock
Pistronics2:Slimeblock:1, Glueblock
Pistronics2:Slimeblock:2, Block of Superglue!
Pistronics2:Gear, Gear (WIP)
Pistronics2:GearPart, GearPart.name
Pistronics2:Sail Part, Sail Part
Pistronics2:Statue, Statue
Pistronics2:Stopper, Stopper.name
Pistronics2:Mechanic Sensor, Mechanic Sensor
Pistronics2:Wrapper, Wrapper.name
divinerpg:rupeeOre, Рупиевая руда
divinerpg:arlemiteOre, Арлемитовая руда
divinerpg:realmiteOre, Реалмитовая руда
divinerpg:bloodgemOre, Каменно-кровавая руда
divinerpg:netheriteOre, Незеритовая руда
divinerpg:rupeeBlock, Рупиевый блок
divinerpg:arlemiteBlock, Арлемитовый блок
divinerpg:realmiteBlock, Реалмитовый блок
divinerpg:bloodgemBlock, Каменно-кровавый блок
divinerpg:netheriteBlock, Незеритовый блок
divinerpg:spiderPumpkin, Тыква паука
divinerpg:enderPumpkin, Тыква странника Края
divinerpg:creeperPumpkin, Тыква крипера
divinerpg:skeletonPumpkin, Тыква скелета
divinerpg:blazePumpkin, Тыква ифрита
divinerpg:zombiePumpkin, Тыква зомби
divinerpg:frostPumpkin, Тыква мороза
divinerpg:cyclopsPumpkin, Тыква циклопа
divinerpg:ghastPumpkin, Тыква гаста
divinerpg:glaconPumpkin, Тыква глакона
divinerpg:enderWatcherPumpkin, Тыква смотрителя Края
divinerpg:jungleSpiderPumpkin, Тыква паука джунглей
divinerpg:hellspiderPumpkin, Тыква адского паука
divinerpg:aquaTorch, Водяной факел
divinerpg:skeletonTorch, Костяной факел
divinerpg:checker, Проверяющий
divinerpg:rainbowWool, Радужная шерсть
divinerpg:crate, Ящик
divinerpg:plankDesign, Plank Design
divinerpg:blueStone, Синий камень
divinerpg:blueVane, Синяя лопасть
divinerpg:cyanVane, Бирюзовая лопасть
divinerpg:purpleVane, Фиолетовая лопасть
divinerpg:redVane, Красная лопасть
divinerpg:yellowVane, Жёлтая лопасть
divinerpg:divineRock, Божественная порода
divinerpg:Tar, Тар
divinerpg:fancyWool, Красивая шерсть
divinerpg:steel:0, Бирюзовая сталь
divinerpg:steel:1, Красная сталь
divinerpg:steel:2, Фиолетовая сталь
divinerpg:steel:3, Зелёная сталь
divinerpg:steel:4, Жёлтая сталь
divinerpg:steel:5, Синяя сталь
divinerpg:steel:6, Белая сталь
divinerpg:steel:7, Чёрная сталь
divinerpg:steel:8, Оранжевая сталь
divinerpg:steel:9, Светло-красная сталь
divinerpg:Bricks:0, Водяные кирпичи
divinerpg:Bricks:1, Арлемитовые кирпичи
divinerpg:Bricks:2, Кирпичи из чёрного камня
divinerpg:Bricks:3, Алмазные кирпичи
divinerpg:Bricks:4, Золотые кирпичи
divinerpg:Bricks:5, Зелёные кирпичи
divinerpg:Bricks:6, Железные кирпичи
divinerpg:Bricks:7, Лазуритовые кирпичи
divinerpg:Bricks:8, Лавовые кирпичи
divinerpg:Bricks:9, Незеритовые кирпичи
divinerpg:Bricks:10, Розовые кирпичи
divinerpg:Bricks:11, Фиолетовые кирпичи
divinerpg:Bricks:12, Реалмитовые кирпичи
divinerpg:Bricks:13, Кирпичи из красного камня
divinerpg:Bricks:14, Кирпичи из молочного камня
divinerpg:Minibricks:0, Рупиевые мини-кирпичи
divinerpg:Minibricks:1, Реалмитовые мини-кирпичи
divinerpg:Minibricks:2, Арлемитовые мини-кирпичи
divinerpg:Minibricks:3, Мини-кирпичи
divinerpg:Minibricks:4, Каменно-кровавые мини-кирпичи
divinerpg:Minibricks:5, Незеритовые мини-кирпичи
divinerpg:Minibricks:6, Мини-кирпичи из коренной породы
divinerpg:lamp1:0, Водяная лампа
divinerpg:lamp1:1, Арлемитовая лампа
divinerpg:lamp1:2, Пламенная лампа
divinerpg:lamp1:3, Лампа синего огня
divinerpg:lamp1:4, Алмазная лампа
divinerpg:lamp1:5, Божественная лампа
divinerpg:lamp1:6, Дракеновая лампа
divinerpg:lamp1:7, Лампа Эдема
divinerpg:lamp1:8, Лампа Края
divinerpg:lamp1:9, Лампа из камня Края
divinerpg:lamp1:10, Золотая лампа
divinerpg:lamp2:0, Ледяная лампа
divinerpg:lamp2:1, Лампа джунглей
divinerpg:lamp2:2, Лампа Кракена
divinerpg:lamp2:3, Лазуритовая лампа
divinerpg:lamp2:4, Лавовая лампа
divinerpg:lamp2:5, Молочная лампа
divinerpg:lamp2:6, Расплавленная лампа
divinerpg:lamp2:7, Незеритовая лампа
divinerpg:lamp2:8, Реалмитовая лампа
divinerpg:lamp2:9, Лампа из красного камня
divinerpg:lamp2:10, Рупиевая лампа
divinerpg:lamp2:11, Terran Lamp
divinerpg:milkStone, Молочный камень
divinerpg:darkstone, Тёмный камень
divinerpg:spikeBlock, Шип
divinerpg:hotSpikeBlock, Горячий шип
divinerpg:slimeLight, Slime Light
divinerpg:slimeLightOn, Slime Light
divinerpg:darkBridge, Тёмный мост
divinerpg:darkBridgeOn, Тёмный мост
divinerpg:blueFence, Синий забор
divinerpg:redFence, Красный забор
divinerpg:greenFence, Зелёный забор
divinerpg:blueFenceOn, Синий забор
divinerpg:redFenceOn, Красный забор
divinerpg:greenFenceOn, Синий забор
divinerpg:ayeracoBeamBlue, tile.ayeracoBeamBlue.name
divinerpg:ayeracoBeamGreen, tile.ayeracoBeamGreen.name
divinerpg:ayeracoBeamRed, tile.ayeracoBeamRed.name
divinerpg:ayeracoBeamYellow, tile.ayeracoBeamYellow.name
divinerpg:ayeracoBeamPurple, tile.ayeracoBeamPurple.name
divinerpg:ayeracoSpawn, Вызов Айрако
divinerpg:kingOfScorchersStatue, Статуя Королевы улья
divinerpg:ancientEntityStatue, Статуя Древней сущности
divinerpg:ayeracoStatue, Статуя Айрако орды
minecraft:iron_shovel, Железная лопата
minecraft:iron_pickaxe, Железная кирка
minecraft:iron_axe, Железный топор
minecraft:flint_and_steel, Огниво
minecraft:apple, Яблоко
minecraft:bow, Короткий лук
minecraft:arrow, Стрела
minecraft:coal:0, Уголь
minecraft:coal:1, Древесный уголь
minecraft:diamond, Алмаз
minecraft:iron_ingot, Железный слиток
minecraft:gold_ingot, Золотой слиток
minecraft:iron_sword, Железный меч
minecraft:wooden_sword, Деревянный меч
minecraft:wooden_shovel, Деревянная лопата
minecraft:wooden_pickaxe, Деревянная кирка
minecraft:wooden_axe, Деревянный топор
minecraft:stone_sword, Каменный меч
minecraft:stone_shovel, Каменная лопата
minecraft:stone_pickaxe, Каменная кирка
minecraft:stone_axe, Каменный топор
minecraft:diamond_sword, Алмазный меч
minecraft:diamond_shovel, Алмазная лопата
minecraft:diamond_pickaxe, Алмазная кирка
minecraft:diamond_axe, Алмазный топор
minecraft:stick, Палка
minecraft:bowl, Миска
minecraft:mushroom_stew, Тушеные грибы
minecraft:golden_sword, Золотой меч
minecraft:golden_shovel, Золотая лопата
minecraft:golden_pickaxe, Золотая кирка
minecraft:golden_axe, Золотой топор
minecraft:string, Нить
minecraft:feather, Перо
minecraft:gunpowder, Порох
minecraft:wooden_hoe, Деревянная мотыга
minecraft:stone_hoe, Каменная мотыга
minecraft:iron_hoe, Железная мотыга
minecraft:diamond_hoe, Алмазная мотыга
minecraft:golden_hoe, Золотая мотыга
minecraft:wheat_seeds, Семена пшеницы
minecraft:wheat, Пшеница
minecraft:bread, Хлеб
minecraft:leather_helmet, Кожаный шлем
minecraft:leather_chestplate, Кожаная куртка
minecraft:leather_leggings, Кожаные штаны
minecraft:leather_boots, Кожаные ботинки
minecraft:chainmail_helmet, Койф
minecraft:chainmail_chestplate, Кольчуга
minecraft:chainmail_leggings, Кольчужные поножи
minecraft:chainmail_boots, Кольчужные ботинки
minecraft:iron_helmet, Железный шлем
minecraft:iron_chestplate, Железный нагрудник
minecraft:iron_leggings, Железные поножи
minecraft:iron_boots, Железные ботинки
minecraft:diamond_helmet, Алмазный шлем
minecraft:diamond_chestplate, Алмазный нагрудник
minecraft:diamond_leggings, Алмазные поножи
minecraft:diamond_boots, Алмазные ботинки
minecraft:golden_helmet, Золотой шлем
minecraft:golden_chestplate, Золотой нагрудник
minecraft:golden_leggings, Золотые поножи
minecraft:golden_boots, Золотые ботинки
minecraft:flint, Кремень
minecraft:porkchop, Сырая свинина
minecraft:cooked_porkchop, Жареная свинина
minecraft:painting, Картина
minecraft:golden_apple:0, Золотое яблоко
minecraft:golden_apple:1, Золотое яблоко
minecraft:sign, Табличка
minecraft:wooden_door, Дубовая дверь
minecraft:bucket, Ведро
minecraft:water_bucket, Ведро воды
minecraft:lava_bucket, Ведро лавы
minecraft:minecart, Вагонетка
minecraft:saddle, Седло
minecraft:iron_door, Железная дверь
minecraft:redstone, Красная пыль
minecraft:snowball, Снежок
minecraft:boat, Лодка
minecraft:leather, Кожа
minecraft:milk_bucket, Ведро молока
minecraft:brick, Кирпич
minecraft:clay_ball, Глина
minecraft:reeds, Сахарный тростник
minecraft:paper, Бумага
minecraft:book, Книга
minecraft:slime_ball, Сгусток слизи
minecraft:chest_minecart, Вагонетка с сундуком
minecraft:furnace_minecart, Вагонетка с печью
minecraft:egg, Яйцо
minecraft:compass, Компас
minecraft:fishing_rod, Деревянная удочка
minecraft:clock, Часы
minecraft:glowstone_dust, Светящаяся пыль
minecraft:fish:0, Сырая треска
minecraft:fish:1, Сырой лосось
minecraft:fish:2, Рыба-клоун
minecraft:fish:3, Рыба фугу
minecraft:cooked_fished:0, Жареная треска
minecraft:cooked_fished:1, Приготовленный лосось
minecraft:dye:0, Чернильный мешок
minecraft:dye:1, Красный краситель
minecraft:dye:2, Зеленый краситель
minecraft:dye:3, Какао-бобы
minecraft:dye:4, Лазурит
minecraft:dye:5, Фиолетовый краситель
minecraft:dye:6, Бирюзовый краситель
minecraft:dye:7, Светло-серый краситель
minecraft:dye:8, Серый краситель
minecraft:dye:9, Розовый краситель
minecraft:dye:10, Лаймовый краситель
minecraft:dye:11, Желтый краситель
minecraft:dye:12, Голубой краситель
minecraft:dye:13, Пурпурный краситель
minecraft:dye:14, Оранжевый краситель
minecraft:dye:15, Костная мука
minecraft:bone, Кость
minecraft:sugar, Сахар
minecraft:cake, Торт
minecraft:bed, Красная кровать
minecraft:repeater, Повторитель
minecraft:cookie, Печенье
minecraft:filled_map:0, Карта
minecraft:shears, Ножницы
minecraft:melon, Ломтик арбуза
minecraft:pumpkin_seeds, Семена тыквы
minecraft:melon_seeds, Семена арбуза
minecraft:beef, Сырая говядина
minecraft:cooked_beef, Стейк
minecraft:chicken, Курятина
minecraft:cooked_chicken, Жареная курица
minecraft:rotten_flesh, Гнилая плоть
minecraft:ender_pearl, Жемчуг Эндера
minecraft:blaze_rod, Стержень ифрита
minecraft:ghast_tear, Слеза Гаста
minecraft:gold_nugget, Золотой самородок
minecraft:nether_wart, Адский нарост
minecraft:potion:0, Пузырёк воды
minecraft:potion:8193, Зелье регенерации
minecraft:potion:8225, Зелье регенерации
minecraft:potion:8257, Зелье регенерации
minecraft:potion:16385, Взрывное Зелье регенерации
minecraft:potion:16417, Взрывное Зелье регенерации
minecraft:potion:16449, Взрывное Зелье регенерации
minecraft:potion:8194, Зелье стремительности
minecraft:potion:8226, Зелье стремительности
minecraft:potion:8258, Зелье стремительности
minecraft:potion:16386, Взрывное Зелье стремительности
minecraft:potion:16418, Взрывное Зелье стремительности
minecraft:potion:16450, Взрывное Зелье стремительности
minecraft:potion:8227, Зелье огнестойкости
minecraft:potion:8259, Зелье огнестойкости
minecraft:potion:16419, Взрывное Зелье огнестойкости
minecraft:potion:16451, Взрывное Зелье огнестойкости
minecraft:potion:8196, Зелье отравления
minecraft:potion:8228, Зелье отравления
minecraft:potion:8260, Зелье отравления
minecraft:potion:16388, Взрывное Зелье отравления
minecraft:potion:16420, Взрывное Зелье отравления
minecraft:potion:16452, Взрывное Зелье отравления
minecraft:potion:8261, Лечебное зелье
minecraft:potion:8229, Лечебное зелье
minecraft:potion:16453, Взрывное Лечебное зелье
minecraft:potion:16421, Взрывное Лечебное зелье
minecraft:potion:8230, Зелье ночного зрения
minecraft:potion:8262, Зелье ночного зрения
minecraft:potion:16422, Взрывное Зелье ночного зрения
minecraft:potion:16454, Взрывное Зелье ночного зрения
minecraft:potion:8232, Зелье слабости
minecraft:potion:8264, Зелье слабости
minecraft:potion:16424, Взрывное Зелье слабости
minecraft:potion:16456, Взрывное Зелье слабости
minecraft:potion:8201, Зелье силы
minecraft:potion:8233, Зелье силы
minecraft:potion:8265, Зелье силы
minecraft:potion:16393, Взрывное Зелье силы
minecraft:potion:16425, Взрывное Зелье силы
minecraft:potion:16457, Взрывное Зелье силы
minecraft:potion:8234, Зелье замедления
minecraft:potion:8266, Зелье замедления
minecraft:potion:16426, Взрывное Зелье замедления
minecraft:potion:16458, Взрывное Зелье замедления
minecraft:potion:8267, Зелье прыгучести
minecraft:potion:8235, Зелье прыгучести
minecraft:potion:16459, Взрывное Зелье прыгучести
minecraft:potion:16427, Взрывное Зелье прыгучести
minecraft:potion:8268, Зелье вреда
minecraft:potion:8236, Зелье вреда
minecraft:potion:16460, Взрывное Зелье вреда
minecraft:potion:16428, Взрывное Зелье вреда
minecraft:potion:8237, Зелье подводного дыхания
minecraft:potion:8269, Зелье подводного дыхания
minecraft:potion:16429, Взрывное Зелье подводного дыхания
minecraft:potion:16461, Взрывное Зелье подводного дыхания
minecraft:potion:8238, Зелье невидимости
minecraft:potion:8270, Зелье невидимости
minecraft:potion:16430, Взрывное Зелье невидимости
minecraft:potion:16462, Взрывное Зелье невидимости
minecraft:glass_bottle, Пузырёк
minecraft:spider_eye, Паучий глаз
minecraft:fermented_spider_eye, Маринованный паучий глаз
minecraft:blaze_powder, Огненный порошок
minecraft:magma_cream, Сгусток магмы
minecraft:brewing_stand, Варочная стойка
minecraft:cauldron, Котёл
minecraft:ender_eye, Око Эндера
minecraft:speckled_melon, Сверкающий арбуз
minecraft:spawn_egg:50, Призвать существо - Крипер
minecraft:spawn_egg:51, Призвать существо - Скелет
minecraft:spawn_egg:52, Призвать существо - Паук
minecraft:spawn_egg:54, Призвать существо - Зомби
minecraft:spawn_egg:55, Призвать существо - Слизень
